Wall time,Step,Value
1744563917.4481044,2048,-463.1963195800781
1744563940.8994257,4096,-427.2596740722656
1744563964.328669,6144,-425.41815185546875
1744563988.1508143,8192,-459.1504211425781
1744564012.128101,10240,-475.8405456542969
1744564035.9381402,12288,-464.2934265136719
1744564059.8973067,14336,-480.6434020996094
1744564084.010904,16384,-462.0780029296875
1744564107.9276783,18432,-457.5926818847656
1744564131.7956991,20480,-440.21612548828125
1744564155.5983436,22528,-448.85992431640625
1744564179.4140308,24576,-465.3950500488281
1744564203.3317811,26624,-467.80718994140625
1744564227.511426,28672,-460.9059143066406
1744564251.3993106,30720,-469.64129638671875
1744564275.2455537,32768,-474.14251708984375
1744564299.1451838,34816,-491.19390869140625
1744564323.4513154,36864,-495.3027648925781
1744564347.8436663,38912,-494.04156494140625
1744564372.4682028,40960,-504.1748962402344
1744564396.8062139,43008,-501.835693359375
1744564420.9622824,45056,-500.7651062011719
1744564445.1937768,47104,-503.70330810546875
1744564469.2510343,49152,-506.9745178222656
1744564493.211787,51200,-498.4438781738281
1744564517.1679623,53248,-496.05108642578125
1744564541.2366817,55296,-492.99578857421875
1744564565.1398623,57344,-489.5859375
1744564589.0879343,59392,-498.36395263671875
1744564613.2710352,61440,-493.7315979003906
1744564637.5606837,63488,-485.102294921875
1744564661.714148,65536,-482.554443359375
1744564685.6286893,67584,-484.9522399902344
1744564709.5547214,69632,-488.4868469238281
1744564733.6593392,71680,-493.3898010253906
1744564757.701973,73728,-476.0078125
1744564781.7828946,75776,-462.6396179199219
1744564805.769466,77824,-464.080078125
1744564829.6062794,79872,-461.6751708984375
1744564853.6262329,81920,-452.8045654296875
1744564877.7387047,83968,-439.42083740234375
1744564901.7889445,86016,-419.11102294921875
1744564925.8004951,88064,-403.99176025390625
1744564949.689467,90112,-389.4317932128906
1744564973.6385303,92160,-378.4166259765625
1744564997.4449716,94208,-378.64111328125
1744565021.408957,96256,-366.779296875
1744565045.2868102,98304,-352.5705261230469
1744565069.0914934,100352,-344.3202209472656
1744565092.9271967,102400,-341.1829528808594
1744565116.6977744,104448,-336.647705078125
1744565140.6069598,106496,-332.8872985839844
1744565164.4964921,108544,-322.74749755859375
1744565188.3721128,110592,-310.754638671875
1744565212.2369514,112640,-313.1216735839844
1744565236.1191857,114688,-312.60113525390625
1744565259.893134,116736,-306.35272216796875
1744565283.7272565,118784,-297.5791320800781
1744565307.546423,120832,-295.9640808105469
1744565331.496042,122880,-286.9927978515625
1744565355.6888964,124928,-283.4647216796875
1744565379.5431194,126976,-279.17230224609375
1744565403.5180252,129024,-268.5199279785156
1744565427.3591452,131072,-263.14813232421875
1744565451.1494977,133120,-271.4621276855469
1744565475.0220008,135168,-275.1912536621094
1744565498.925714,137216,-277.3427734375
1744565522.7681577,139264,-276.2126770019531
1744565546.6056585,141312,-269.8345031738281
1744565570.6411848,143360,-269.57989501953125
1744565594.504588,145408,-263.1546325683594
1744565618.3903224,147456,-262.970458984375
1744565642.2608247,149504,-258.1031494140625
