Wall time,Step,Value
1744456315.2275999,2048,-352.0373229980469
1744456338.7279325,4096,-445.6229553222656
1744456362.0975802,6144,-475.9629211425781
1744456385.8305626,8192,-473.4515380859375
1744456409.774394,10240,-507.0222473144531
1744456433.834147,12288,-503.8851318359375
1744456457.889737,14336,-530.56298828125
1744456482.017143,16384,-499.70501708984375
1744456505.9567332,18432,-505.2868957519531
1744456529.820545,20480,-496.3207702636719
1744456553.856041,22528,-501.8886413574219
1744456578.0172257,24576,-488.7010192871094
1744456601.9359674,26624,-492.42474365234375
1744456626.0151942,28672,-485.8038635253906
1744456649.9067147,30720,-474.3608703613281
1744456673.8428395,32768,-473.5900573730469
1744456697.7549212,34816,-486.0829162597656
1744456721.8574996,36864,-486.1694030761719
1744456746.124753,38912,-486.6985168457031
1744456770.1195056,40960,-483.5644226074219
1744456794.057815,43008,-481.6446228027344
1744456818.0481079,45056,-481.6418762207031
1744456842.146337,47104,-477.3290100097656
1744456866.214448,49152,-479.2180480957031
1744456890.2033474,51200,-486.4396057128906
1744456915.582156,53248,-484.2020568847656
1744456940.488206,55296,-483.94903564453125
1744456965.2803292,57344,-482.2129211425781
1744456990.0152333,59392,-468.3660888671875
1744457014.5898318,61440,-461.5110168457031
1744457039.2322474,63488,-452.1582946777344
1744457063.879786,65536,-445.0260009765625
1744457088.5279813,67584,-440.1881103515625
1744457113.2930548,69632,-436.27813720703125
1744457137.8801646,71680,-434.74346923828125
1744457162.5749466,73728,-427.3029479980469
1744457187.3205016,75776,-425.9149169921875
1744457211.9401214,77824,-427.8722229003906
1744457236.85281,79872,-424.461669921875
1744457261.5369403,81920,-430.2171630859375
1744457286.394214,83968,-420.75225830078125
1744457311.451275,86016,-407.19818115234375
1744457336.0471046,88064,-395.85394287109375
1744457360.759376,90112,-387.029541015625
1744457385.3770292,92160,-383.09478759765625
1744457410.0900073,94208,-381.0943603515625
1744457434.859976,96256,-370.20501708984375
1744457459.5001085,98304,-365.25225830078125
1744457484.2416773,100352,-354.6857604980469
1744457509.1431134,102400,-345.8881530761719
